bugid,sd,rs
555167,Re-ordering of Exchange Items Does Not Work in Interface,1
555168,[RichText] Typed text in descirption is lost restarting Eclipse or switching from a model element to Diagram element,1
555169,Business Queries should not remove current value(s) from available values,1
555170,Properties on diagram elements shall not appears if a double click action is registered on mapping,1
555171,SWTException on selection changed between different project,1
555172,NPE is thrown when switching between search and description tab,1
555173,Disable editing of properties for a lib with read-only access,1
555174,Provide a system property to disable nebula richtext widget,1
555175,Spellchecking issue of Rich Text editor on Windows,1
555176,Some controllers in section fields are not able to find business query,1
555177,NPE when deleting parent and child in project explorer,1
555180,NPE in CapellaEmbeddedLinkedTextEditorInput,1
555181,Dead Lock with the Capella properties view refresh,1
555182,On-the fly attachment of extension objects when editing properties,1
555183,Error while closing session with Properties view without focus,1
555184,Component Properties / Dialog title to improve to distinguish Actors & nature,1
555185,Deprecate rootParentComposite variable in AbstractSection,1
555186,NamedElementSection shouldn't be abstract,1
555188,Remove blue triangle Properties twistie in properties view.,1
555190,[REC-RPL] Interface references are missing when instanciating a RPL,1
555191,Undo/Redo command names related to REC/RPL are not correct,1
555192,Impossible to use Add Element on Replica wizard,1
555193,NPE on update replica in some cases,1
555194,add REC/RPL test cases in test framework,1
555196,[REC] RPL Update - Suffix management,1
555197,[REC] Update RPL elements name with REC elements name + RPL suffix,1
555198,"[REC] Update RPL elements, fix double suffix propagation",1
555199,Double migration remove suffix on RPL,1
555200,"On RPL update, ClassCastException",1
555201,REC / RPL selection for update,1
555202,Capella Libraries should support non-melodymodeller models,0
555203,"[REGRESSION][MARS] Create REC/Create RPL, no toolbar and tree on the right",1
555204,"Ability to extend scope, dependencies and shared elements computation",1
555205,Update RPL raises an error when an element of REC has been deleted,1
555206,"DCON_02 - RPL to REC conformance"" is disabled when validation run on IFE model",1
555207,Use DiffMerge UI instead of Differences Table,1
555208,Conformance Check Rule should consider active filters,1
555210,Change of ID on elements when REC is created,1
555211,Ability to update connections between pairs of REC/RPL,1
555212,Popup Menu is not updated on selection changes,1
555213,diffMerge Incremental mode should be disable by default during REC/RPL update,1
555214,Ability to mark a RPL as read-only,1
555215,[REC-RPL][M2] add new properties on CatalogElement,1
555217,"Create/Update REC: when a exchange is added without ports, instanciation breaks the REC",1
555218,Create REC of entire project,1
555220,Ability to store RPL elements in specific packages,1
555221,Order of RPL elements is random when creating RPL from REC,1
555225,isRecElement/isRplElement properties in RePropertyTester do not work as expected,1
555226,Rec creation wizard does not show suffixed elements when opened,1
555227,Elements for new REC should not be suffixed by default,1
555235,Cannot select REC catalog if first selected element is a parent of system engineering,1
555236,Location inconsistencies on fragmented model or with libraries,1
555237,Ease REC-RPL suffix manipulation,1
555238,Instantiate whole library from rec does not manage parts,1
555239,Update REC in a read-only library from RPL does not log an error in Information view,1
555240,Update RPL wrongly adds references toward REC elements,1
555241,Update RPL doesn't finish when element is linked to several RPL,1
555242,double click on REC/RPL in arborescence does not open the wizard,0
555243,[Build] Configure hudson jobs,1
555244,Remove JAXB dependency,1
555245,[Build] Add platforms linux 32/64,1
555246,Capella eclipse file not executable by default on Linux and OSX platforms,1
555247,Problem with GTK version vs embedded webkit,1
555248,"[Build] ""incubation"" shall be added to the archive files name",1
555249,"[Build] Remove ""nosrc"" archives",1
555250,Experimental Platform build,1
555251,"Use ""Git build locations"" steps in the build model",1
555253,Problem with GTK version vs embedded webkit,1
555254,Extract external dependencies from build model,0
555256,Add IFE sample model to Capella archives,1
555259,Update Kitalpha to latest version,1
555260,Update Sirius.Query.Legacy to 1.1.0,1
555261,Update Sirius 2.0.5 to 2.0.x,1
555262,Improve emf generation templates,0
555263,[Addons] Update for delivery / XHTMLDocGen 0.8.2 / XMLPivot 0.8.1 / SubsystemTransition 0.8.1,1
555264,Part duplication on scenario refinement,1
555265,Integrated new version of Diffmerge Patterns build on Sirius 3.1.0,1
555266,Update sirius to 3.1.0-S20150717-101708,1
555267,Update to sirius 3.1.0-S20150804-095058,1
555268,Update build capella for addons to #173,1
555269,Update Kitalpha job for master,1
555270,Update to sirius 3.1.0-S20150820-082835,1
555271,Update to sirius 3.1.0-S20150828-102814,1
555272,Integration of a new version of Sirius,1
555273,Update required Java version to 1.7,1
555274,Update kitalpha version to the official 0.5.2 release,1
555275,Update kitalpha version to the latest release,1
555276,Capella 0.8.2 is missing execution rights on Content/MacOsX/eclipse,1
555277,Update Kitalpha to latest version,1
555278,Update to Sirius 3.1.0-S20150930-080030,1
555279,Capella gets out from incubation,1
555280,Update to Sirius 3.1.0-S20151008-082237,1
555281,Provide build models for basic viewpoints,1
555282,Update build model for addons,1
555283,Update Sirius version to 3.1.2,1
555284,FileModificationTask used in M2 Migration Task changes end of line character sequences to '\n',1
555285,Update to Kitalpha RC2,1
555287,Update to Kitalpha RC4,1
555289,Add releng for Rcptt test,1
555290,Migrate basic VP to Capella 1.0.x,1
555291,Experimental Platform Build does not start,1
555292,Update build model of addons to match Capella 1.1.0 version,1
555293,Update build model of addons to match Capella 1.0.0 version,1
555294,Capella use a stable version of amalgam,1
555295,Build model of addons version 1.0.0,1
555296,Update Capella version to 1.0.2,1
555297,Clean-up of new add-ons repositories,1
555298,Build job errors,1
555299,Provide an Oomph Setup model for Capella,1
555302,Update site for Capella 1.1 and future versions,1
555304,Capella master isn't executable on OSx anymore,1
555305,[releng] Add Oomph stream for branch v1.1.x,1
555306,Guava versions in build and runtime are different,1
555307,Correction of EGF Build for XML Pivot add-on,1
555308,Capella 1.1.0 MacOsx installation is wrong,1
555309,Investigate unification of capella git repositories,0
555310,[Build] Build Capella with Tycho build Kitalpha,1
555311,Capella Exe should be named capella.exe,1
555312,Icon of Capella EXE,1
555313,Unable to consume capella nightly update site via tpd file,1
555314,[Releng] Capella EGF patterns 's update site is not built anymore,1
555315,Only generate target file for built platform,1
555316,Avoid building all .target files in all builds,1
555318,Tips to speedup local build,0
555320,Remove Richtext update site,1
555321,Official capella 1.2.1 download does not include capella source code,1
555322,Sample model shall not be stored as a zip file in git repository,1
555323,Update default preference for automatic migration,1
555325,Allows build of viewpoints generated for CDO,1
555326,Filtering capabilities,1
555327,Extending metamodel,1
555328,Finalize the implementation of the importer preference page,1
555329,Label of Requirements is not updated,1
555330,Add Coevolution to add-on packaging,1
555331,filter Types and include necessary types when Requirements are imported.,1
555332,Adjust the display of Requirements on Capella Project Explorer,1
555333,Allow requirements allocation on representations,1
555334,Several issues on properties view,1
555335,Special characters are not correctly decoded and displayed,1
555336,Requirements Allocation tab does not work: impossible to allocation a requirement,1
555337,Add filters for technical elements and change label for incoming/outgoing relations,1
555338,Add missing semantic browser queries,1
555339,Add relation type and direction config in allocation properties view,1
555340,Scrollbars management in Properties view not user friendly when in tab Requirements Allocation,1
555341,Add the possibility to import Enumeration elements,1
555342,created viewpoint elements have no id,1
555343,Restrict queries not to propose library elements,1
555345,Improve documentation,1
555346,"In-links not visible in Tab ""Requirements Allocation"" of the ""Properties"" view",1
